drug,final_score,trace_score,genetic_support,pathway_concordance,sig_reproducibility,n_cell_lines,baseline_score,final_rank
cediranib,0.897341628959276,0.1010110870751417,0.5939707944793398,0.0,0.0,7,-0.132378277153558,1
JNJ-26481585,0.896012443438914,0.0949286646412464,0.0991732743699122,0.0,0.0,7,0.0,2
romidepsin,0.8957296380090497,0.0947847353198309,0.0991732743699122,0.0,0.0,7,-0.1301872659176029,4
dasatinib,0.8925339366515838,0.0813840538612186,0.5939707944793398,0.0,0.0,30,-0.0929026217228464,5
AEE-788,0.8924773755656109,0.0818801731116724,0.5924039630990924,0.0,0.0,7,-0.1063670411985018,6
rufinamide,0.8905260180995475,0.0793000076794316,0.06652437384324633,0.0,0.0,7,-0.0884831460674157,7
dacomitinib,0.8898755656108598,0.0793806955605177,0.06384897206109048,0.0,0.0,24,-0.0819662921348314,8
afatinib,0.8893099547511312,0.079279379634215,0.06384897206109048,0.0,0.0,17,-0.1349438202247191,9
neratinib,0.8819570135746606,0.0601618137453098,0.06384897206109048,0.0,0.0,15,-0.1008052434456928,10
baricitinib,0.8812217194570136,0.0582027437916066,0.06478550859743923,0.0,0.0,7,-0.0889325842696629,11
riluzole,0.8811934389140271,0.0581917305967409,0.06652437384324633,0.0,0.0,7,-0.0948689138576779,12
osimertinib,0.8808257918552036,0.0582240531468546,0.06384897206109048,0.0,0.0,24,-0.0906179775280898,13
valdecoxib,0.8807126696832579,0.0551455752845994,0.10503883946193322,0.0,0.0,7,0.0591760299625467,14
AP-26113,0.87460407239819,0.0491474192330198,0.06384897206109048,0.0,0.0,7,-0.0814794007490636,15
canertinib,0.8740384615384614,0.048160065493379,0.06384897206109048,0.0,0.0,17,-0.0859363295880149,16
BIBX-1382,0.8729072398190044,0.0461325810291385,0.06384897206109048,0.0,0.0,7,-0.0956179775280899,17
vorinostat,0.8723981900452488,0.0445219255647375,0.08255314223124924,0.0,0.0,22,0.0,18
efatutazone,0.8722850678733031,0.0445175669350021,0.08718967925261827,0.0,0.0,7,0.0,19
STA-5326,0.7485294117647059,0.1646287206202187,0.0,0.0,0.0,7,-0.1409925093632958,20
cepharanthine,0.7482466063348416,0.1203411059604048,0.0,0.0,0.0,7,-0.1260486891385768,21
trametinib,0.7479638009049774,0.1170342181440016,0.0,0.0,0.0,13,-0.1500374531835206,22
orlistat,0.7476809954751131,0.1159934148203403,0.0,0.0,0.0,7,0.0,23
WH-4-025,0.7473981900452489,0.1141349760442371,0.0,0.0,0.0,13,-0.0950749063670412,24
atorvastatin,0.7471153846153846,0.1114189474139403,0.0,0.0,0.0,7,-0.0923033707865168,25
fluspirilene,0.7468325791855204,0.1061045476870299,0.0,0.0,0.0,7,-0.1425093632958801,26
AT7867,0.7465497737556561,0.1059524010112165,0.0,0.0,0.0,22,-0.1440823970037453,27
bafilomycin a1,0.7462669683257919,0.1028006358958682,0.0,0.0,0.0,5,0.0,28
D-4476,0.7457013574660634,0.0976207984674886,0.0,0.0,0.0,21,-0.1293258426966292,29
dacinostat,0.7448529411764706,0.0939366356035574,0.0,0.0,0.0,7,0.0,30
PD-0325901,0.7442873303167421,0.0931302568835778,0.0,0.0,0.0,30,-0.1215355805243445,31
BI-2536,0.7440045248868778,0.0924666501319442,0.0,0.0,0.0,27,-0.1488951310861423,32
sunitinib,0.7437217194570136,0.0909455991497725,0.0,0.0,0.0,22,-0.168314606741573,33
WZ-4-145,0.7434389140271493,0.0895181958295982,0.0,0.0,0.0,15,-0.115936329588015,34
trichostatin-a,0.7431561085972851,0.089475273741222,0.0,0.0,0.0,5,-0.1726779026217228,35
I-BET-151,0.7428733031674208,0.0840622144943785,0.0,0.0,0.0,19,-0.1228089887640448,36
I-BET-762,0.7425904977375566,0.0839942211745074,0.0,0.0,0.0,21,-0.1233895131086142,37
YM-201636,0.7423076923076923,0.0833412168818309,0.0,0.0,0.0,13,-0.078314606741573,38
pitavastatin,0.7420248868778281,0.0822129302343493,0.0,0.0,0.0,7,-0.0962921348314607,39
NVP-TAE684,0.7417420814479638,0.0821504791910466,0.0,0.0,0.0,15,-0.0932022471910112,40
KW-2478,0.7400452488687782,0.0769015050286314,0.0,0.0,0.0,7,-0.1191947565543071,41
AZD-8330,0.739762443438914,0.0764236811305565,0.0,0.0,0.0,15,-0.1047191011235955,42
JQ1-(+),0.7394796380090497,0.07565793584196,0.0,0.0,0.0,19,-0.0939138576779026,43
VP-20629,0.7391968325791854,0.0754508805904667,0.0,0.0,0.0,7,-0.1169101123595505,44
AST-1306,0.7389140271493212,0.0749161705699212,0.0,0.0,0.0,22,-0.0656554307116105,45
vandetanib,0.7386312217194569,0.0743649091657052,0.0,0.0,0.0,24,-0.1098501872659176,46
KN-62,0.7383484162895927,0.0723036970694837,0.0,0.0,0.0,5,-0.1010674157303371,47
selumetinib,0.7380656108597284,0.0698489095238831,0.0,0.0,0.0,18,-0.080131086142322,48
simvastatin,0.7377828054298642,0.0684920594655081,0.0,0.0,0.0,7,0.0,49
AS-605240,0.7374999999999999,0.0673550714064886,0.0,0.0,0.0,17,0.0,50
rosuvastatin,0.7372171945701357,0.0673281329537973,0.0,0.0,0.0,7,-0.0755617977528089,51
